S.No.,Name,Main City,State,Rank
1,"A. M. C. College of Engineering",Bengaluru,Karnataka
2,"A. M. Reddy Memorial College of Engineering and Technology",Narasaraopet,Andhra Pradesh
3,"A. V. C. College of Engineering",Mayiladuthurai,Tamil Nadu
4,"AARUPADAI VEEDU INSTITUTE OF TECHNOLOGY",Chennai,Tamil Nadu
5,"ABACUS Institute of Engineering and Management 240",Magra,West Bengal
6,"ABES Engineering College",Ghaziabad,Uttar Pradesh
7,"ABES Institute of Technology",Ghaziabad,Uttar Pradesh
8,"Academy of Maritime Education and Training",Kancheepuram,Tamil Nadu
9,"Academy of Technology",Hooghly,West Bengal
10,"Accurate Institute of Management & Technology",Greater Noida,Uttar Pradesh
11,"Acharya Institute of Technology",Bengaluru,Karnataka
12,"Acropolis Institute of Technology & Research, Vill",Indore,Madhya Pradesh
13,"ACS COLLEGE OF ENGINEERING",Bengaluru,Karnataka
14,"Adarsh Institute of Technology & Research Centre, Post -? Khambale (Bha.), Near MIDC,Tasgaon Road, VITA, Tal. Khanapur Dist. Sangli ",Vita,Maharashtra
15,"Adi Shankara Institute of Engineering and Technology",Kalady,Kerala
16,"Adichunchanagiri Institute of Technology",Chikmagalur,Karnataka
17,"Adikavi Nannaya University",Rajahmundry,Andhra Pradesh
18,"ADINA INSTITUTE OF SCIENCE AND TECHNOLOGY, SAGAR, MP",Sagar,Madhya Pradesh
19,"Aditya College of Engineering",Madanapalle,Andhra Pradesh
20,"Aditya College of Engineering",Surampalem,Andhra Pradesh
21,"Aditya College of Engineering & Technology",Kakinada,Andhra Pradesh
22,"Aditya Engineering College",Surampalem,Andhra Pradesh
23,"Aditya Institute of Technology and Management",Tekkali,Andhra Pradesh
24,"Agnel Institute of Technology and Design",Assagao,Goa
25,"Agni College of Technology",CHENNAI,Tamil Nadu
26,"Ajay Kumar Garg Engineering College",Ghaziabad,Uttar Pradesh
27,"Akshaya College of Engineering and Technology",Coimbatore,Tamil Nadu
28,"AL-Ameen Engineering College",Erode,Tamil Nadu
29,"Aldel Education Trusts St John College of Engg Vevoor Palghar Tal Palghar Dist Thane",Thane,Maharashtra
30,"Alfa College of Engineering and Technology",Allagadda,Andhra Pradesh
31,"Aligarh Muslim University",Aligarh,Uttar Pradesh,40
32,"All India Shivaji Memorial Societys College of Engineering, Pune",Pune,Maharashtra
33,"All India Shri Shivaji Memorial Society`s Institute of Information Technology",Pune,Maharashtra
34,"Alliance University",Bengaluru,Karnataka,186
35,"Alvas Institute of Engineering and Technology, MOODBIDRI",Dakshina Kannada,Karnataka
36,"Ambal Professional Group of Institutions",Tiruppur,Tamil Nadu
37,"Ambedkar Institute of Advanced Communication Technologies and Research",Delhi,Delhi
38,"Amity University",Gautam Budh Nagar,Uttar Pradesh,35
39,"Amrita Sai Institute of Science & Technology",Krishna,Andhra Pradesh
40,"Amritsar College of Engineering & Technology",Amritsar,Punjab
41,"Amrutha Institute of Engineering & Management Sciences",Bengaluru,Karnataka
42,"Amrutvahini College of Engineering, Sangamner",Sangamner,Maharashtra
43,"ANAND INSTITUTE OF HIGHER TECHNOLOGY",Chennai,Tamil Nadu
44,"Anand Institute of Information Science (SFI)-Anand 501",ANAND,Gujarat
45,"Andhra Engineering College",Atmakur,Andhra Pradesh
46,"Andhra Loyola Institute of Engineering and Technology",Vijayawada,Andhra Pradesh
47,"Angadi Instittute of Technology and Management",Belgaum,Karnataka
48,"ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY & SCIENCES",Visakhapatnam,Andhra Pradesh
49,"Anjuman-I-Islam`s Kalsekar Technical Campus",New Panvel,Maharashtra
50,"Anna University",Chennai,Tamil Nadu,9
51,"Annai Vailankanni College of Engineering",Nagercoil,Tamil Nadu
52,"ANNAMACHARYA INSTITUTE OF TECHNOLOGY & SCIENCES",Rajampet,Andhra Pradesh
53,"Annamacharya Institute of Technology and Sciences",Kadapa,Andhra Pradesh
54,"Annamalai University",Annamalai nagar,Tamil Nadu
55,"Annamcharya Institute of Technology & Sciences",Tirupati,Andhra Pradesh
56,"Annasaheb Dange College of Engineering and Technology, Ashta",Ashta,Maharashtra
57,"Ansal University",Gurgaon,Haryana
58,"Anurag Engineering College",ANANTHAGIRI (V&M),Telangana
59,"Anurag Group of Institutions",Hyderabad,Telangana,169
60,"Arasu Engineering College",Thanjavur,Tamil Nadu
61,"Army Institute of Technology",Pune,Maharashtra,91
62,"Arunachala College of Engineering for Women",Kanniyakumari,Tamil Nadu
