S. No.,State,Metro,Culture,Population,GDP,Area,Hindu,Muslim,Christan,Sikh
1,Uttar Pradesh,Lucknow,H,199812341,781,243290,159312654,38483967,356448,643500
2,Maharashtra,Mumbai,M,112374333,1460,307713,95518183,15732407,1080073,223247
3,Bihar,Patna,B,104099452,272,94163,86078686,17557809,129247,23779
4,West Bengal,Kolkata,W,91276115,543,88752,64385546,24654825,1825522,63523
5,Madhya Pradesh,Bhopal,C,72626809,428,308350,66007121,5810145,213282,151412
6,Tamil Nadu,Chennai,T,72147030,839,130058,63188168,4229479,4418331,14601
7,Rajasthan,Jaipur,C,68548437,438,342239,60657103,6215377,96430,872930
8,Karnataka,Bangalore,K,61095297,737,191791,51317472,7893065,1142647,28773
9,Gujarat,Ahmedabad,M,60439692,781,196024,53533988,5846761,316178,58246
10,Andhra Pradesh,,T,49386799,462,162968,43689894,4719328,659682,23499
11,Odisha,Bhubaneswar,W,41974218,238,155707,39300341,911670,1161708,21991
12,Telangana,Hyderabad,B,35193978,442,112077,29914881,4575217,351940,351940
13,Kerala,Kochi,K,33406061,408,38863,18282492,8873472,6141269,3814
14,Jharkhand,Dhanbad,B,32988134,146,79714,23091694,4793994,4948220,71422
15,Assam,Guwahati,A,31169272,173,78438,19158444,10666921,1246771,20648
16,Punjab,Amritsar,P,27743338,272,50362,10678138,535489,348230,16004754
17,Chhattisgarh,Nagpur,B,25545198,170,135191,23819789,1021808,490542,70036
18,Haryana,,P,25351462,374,44212,22171128,1781342,50353,1243752
19,NCT of Delhi,Delhi,H,16787941,374,1484,13712100,2158684,146093,570581
20,Jammu and Kashmir,Jammu,U,12541302,85,222236,3566674,8567485,35631,234848
21,Uttarakhand,Roorkee,U,10086292,136,53483,8368636,1406825,37781,236340
22,Himachal Pradesh,Shimla,U,6864602,85,55673,6532765,149881,12646,79896
23,Tripura,,A,3673917,18,10486,3063903,316042,293913,1070
24,Meghalaya,,A,2966889,14,22429,342078,130399,2492187,3045
25,Manipur,,A,2721756,11,22327,1126404,228579,1360878,1455
26,Nagaland,,A,1978502,11,16579,173054,48963,1739651,1890
27,Goa,,M,1458545,37,3702,963877,121564,366130,1473
28,Arunachal Pradesh,,A,1383727,10,83743,484304,27045,871748,3287
29,Puducherry,,T,1247953,16,562,1089409,75556,78550,297
30,Mizoram,,A,1097206,8,21081,54860,14832,1020402,286
31,Chandigarh,,P,1055450,16,114,852574,51447,8720,138329
32,Sikkim,,W,610577,11,7096,352662,9867,244231,1868
33,Andaman and Nicobar,,T,380581,3,8249,264296,32413,80984,1286
34,Dadra and Nagar Haveli,,M,343709,1,491,322857,12922,5113,217
35,Daman and Diu,,M,243247,1,112,220150,19277,2820,172
36,Lakshadweep,,K,64473,0,32,1788,62268,317,8
